K,r_075,r_10,r_125
1,31.4,14.5,8.4
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.3,0.0,0.0
10,1.7,0.4,0.0
11,3.3,1.3,0.5
12,5.0,2.1,1.1
13,6.9,3.1,1.8
14,8.8,4.0,2.4
15,10.8,5.0,3.1
16,12.4,5.9,3.7
17,14.5,6.9,4.4
18,16.4,7.8,5.1
19,18.8,8.9,5.8
20,21.1,10.2,6.6
21,23.1,11.1,7.2
22,25.0,12.1,7.9
23,27.2,13.2,8.7
24,29.2,14.3,9.4
25,31.8,15.7,10.3
26,33.4,16.5,10.9
27,35.8,17.5,11.7
28,38.1,18.7,12.4
29,40.3,19.7,13.2
30,42.8,21.2,14.1
