market_ids,firm_ids,shares,prices,x1,z1,z2,rival_z1,rival_z2
0,0,0.60938251,1.8416936,0.30471708,0.22511673,-0.30978756,-0.053342962,0.060236173
0,1,0.11994054,2.6391251,-1.0399841,-0.053342962,0.060236173,0.22511673,-0.30978756
1,0,0.30738946,2.1814014,0.7504512,0.86404363,-1.2407559,0.60673318,-1.3877536
1,1,0.4416294,2.0767145,0.94056472,0.60673318,-1.3877536,0.86404363,-1.2407559
2,0,0.40960191,0.1,-1.9510352,-2.9858225,0.18229778,0.5452422,-0.75778057
2,1,0.10710563,2.3641324,-1.3021795,0.5452422,-0.75778057,-2.9858225,0.18229778
3,0,0.50718672,0.1,0.1278404,-1.0034794,-1.4525117,-1.4217287,0.96534129
3,1,0.42951236,0.1,-0.31624259,-1.4217287,0.96534129,-1.0034794,-1.4525117
4,0,0.7690812,0.1217848,-0.016801158,-0.18847341,-0.63179467,0.41097111,1.1498116
4,1,0.0094963126,4.5134908,-0.85304393,0.41097111,1.1498116,-0.18847341,-0.63179467
5,0,0.90598402,0.1,0.87939797,-1.6407346,0.028470791,0.70457642,0.29475886
5,1,0.009566643,4.8771542,0.77779194,0.70457642,0.29475886,-1.6407346,0.028470791
6,0,0.092546866,2.923957,0.066030698,0.76333885,-0.21149975,0.046976196,-2.6551622
6,1,0.82181558,0.1,1.1272412,0.046976196,-2.6551622,0.76333885,-0.21149975
7,0,0.79173526,0.1,0.46750934,-0.86762363,-1.1367865,-0.979378,-0.12570946
7,1,0.12179553,0.1,-0.85929246,-0.979378,-0.12570946,-0.86762363,-1.1367865
8,0,0.025560515,4.3794979,0.36875078,1.0259321,0.36472914,-1.5112227,-1.789674
8,1,0.79888366,0.1,-0.9588826,-1.5112227,-1.789674,1.0259321,0.36472914
9,0,0.16778758,3.029008,0.8784503,1.0644705,-0.053601708,-0.16519916,-1.1222641
9,1,0.65447052,0.58265214,-0.049925911,-0.16519916,-1.1222641,1.0644705,-0.053601708
10,0,0.69471176,0.1,-0.18486236,-0.0958345,0.23462017,-1.7080877,-0.019400786
10,1,0.24490186,0.1,-0.68092954,-1.7080877,-0.019400786,-0.0958345,0.23462017
11,0,0.86036682,1.7820309,1.2225413,-0.14671663,0.7435016,0.61358552,1.0668229
11,1,0.0095786837,4.8456465,-0.15452948,0.61358552,1.0668229,-0.14671663,0.7435016
12,0,0.35920454,0.52695945,-0.42832782,-1.3364101,0.4589899,0.49863587,0.86039359
12,1,0.030122842,4.6151505,-0.35213355,0.49863587,0.86039359,-1.3364101,0.4589899
13,0,0.49867553,1.5827071,0.53230919,0.089012254,-0.35034248,-0.64375561,2.8231174
13,1,0.1531028,2.7329382,0.36544406,-0.64375561,2.8231174,0.089012254,-0.35034248
14,0,0.28243324,1.9145233,0.41273261,0.85467309,-1.2188191,-2.2022568,-0.52775578
14,1,0.64104548,0.1,0.430821,-2.2022568,-0.52775578,0.85467309,-1.2188191
15,0,0.93964225,2.4309181,2.1416476,0.34668075,0.90135858,1.6194352,0.7527213
15,1,0.0001279328,6.9769799,-0.40641502,1.6194352,0.7527213,0.34668075,0.90135858
16,0,0.012819552,5.1334846,-0.51224273,1.4399431,0.48738902,0.38980672,0.67531866
16,1,0.098044881,3.8086083,-0.81377273,0.38980672,0.67531866,1.4399431,0.48738902
17,0,0.62630969,0.1,0.61597942,-0.30168078,-2.0835572,-0.63580256,1.5892987
17,1,0.31269223,1.6629254,1.1289723,-0.63580256,1.5892987,-0.30168078,-2.0835572
18,0,0.84630545,0.1,-0.11394746,-0.30292579,-0.20389096,0.54380725,1.2458942
18,1,0.0028362802,5.0555987,-0.84015648,0.54380725,1.2458942,-0.30292579,-0.20389096
19,0,0.66677797,0.1,-0.82448122,-0.80724381,-2.0335266,0.75742382,0.2565685
19,1,0.064527462,4.1753897,0.65059279,0.75742382,0.2565685,-0.80724381,-2.0335266
20,0,0.023624299,5.747659,0.74325417,2.1331605,-0.56350228,-0.061883235,0.57212015
