K,rho,r_50,r_75,r_95
1,0,17.755600155594,22.1550210435457,29.8230632924357
1,0.01,17.7138936199174,22.1033416509317,29.7215190268971
1,0.02,17.6860097091151,22.0485884089247,29.6376350835154
1,0.03,17.6392107443809,21.9907512079826,29.5286181240348
1,0.04,17.5899065026347,21.9298198740884,29.4159253656685
1,0.05,17.5540884746226,21.8657841714103,29.3204227689314
1,0.06,17.4996422718776,21.7986338048408,29.2209278978296
1,0.07,17.4426678705161,21.72835842242,29.0968467474286
1,0.08,17.3988302353118,21.6549476176513,28.9894765583813
1,0.09,17.336663503474,21.578390931713,28.8578024903857
1,0.1,17.2719452383958,21.4986778555724,28.7425095687429
1,0.11,17.2046680195959,21.4157978320081,28.6231602374106
1,0.12,17.1500397256937,21.329740257543,28.4799375307058
1,0.13,17.0775027903517,21.2404944842944,28.3329528141941
1,0.14,17.0023830854685,21.1480498217455,28.2016699265912
1,0.15,16.9246730374124,21.0523955384403,28.0662787879609
1,0.16,16.8443650369618,20.9535208636077,27.9076152003002
1,0.17,16.7614514406803,20.8514149887174,27.7641295350845
1,0.18,16.6759245722338,20.7298360348175,27.6164953277103
1,0.19,16.587776723654,20.6213771764836,27.4646985080835
1,0.2,16.4970001565499,20.5096559320328,27.3087249612956
1,0.21,16.4035871032711,20.3946613527137,27.13025171039
1,0.22,16.3075297680233,20.276382458945,26.9660539706865
1,0.23,16.2088203279396,20.1393078150811,26.7976385100873
1,0.24,16.0937538948115,20.0145763649513,26.6249910473551
1,0.25,15.9898515473443,19.8713342257222,26.4480972643125
1,0.26,15.8832747429701,19.7401116119426,26.2669428072241
1,0.27,15.7740155573001,19.6055522205814,26.064264975652
1,0.28,15.6620660436819,19.4676449046697,25.8747272411701
1,0.29,15.5474182340407,19.3118057265027,25.6808871552168
1,0.3,15.4172009707881,19.1673265572365,25.4660360914425
1,0.31,15.2972749441047,19.0052165636907,25.24723107584
1,0.32,15.174627847494,18.8541262649942,25.0407718333336
1,0.33,15.0492516321658,18.6996347974806,24.829955267445
1,0.34,14.9211382317078,18.5417308823419,24.614766775313
1,0.35,14.7781459305293,18.3668072785356,24.3951917289462
1,0.36,14.6446824003409,18.2022103823165,24.1556707688026
1,0.37,14.5084586238269,18.0341684955665,23.927473813282
1,0.38,14.3577870747148,17.8626702684916,23.6797000246853
1,0.39,14.2161705219565,17.6877043359211,23.4428285184033
1,0.4,14.0717705102717,17.4965112860825,23.2015000795728
