K,rho,r_075,r_10,r_125
1,0,0,0,0
1,0.01,0,0,0
1,0.02,0,0,0
1,0.03,0,0,0
1,0.04,0,0,0
1,0.05,0,0,0
1,0.06,0,0,0
1,0.07,0,0,0
1,0.08,0,0,0
1,0.09,0,0,0
1,0.1,0,0,0
1,0.11,0,0,0
1,0.12,0,0,0
1,0.13,0,0,0
1,0.14,0,0,0
1,0.15,0,0,0
1,0.16,0,0,0
1,0.17,0,0,0
1,0.18,0,0,0
1,0.19,0,0,0
1,0.2,0,0,0
1,0.21,0,0,0
1,0.22,0,0,0
1,0.23,0,0,0
1,0.24,0,0,0
1,0.25,0,0,0
1,0.26,0,0,0
1,0.27,0,0,0
1,0.28,0,0,0
1,0.29,0,0,0
1,0.3,0,0,0
1,0.31,0,0,0
1,0.32,0,0,0
1,0.33,0,0,0
1,0.34,0,0,0
1,0.35,0,0,0
1,0.36,0,0,0
1,0.37,0,0,0
1,0.38,0,0,0
1,0.39,0,0,0
1,0.4,0,0,0
1,0.41,0,0,0
1,0.42,0,0,0
1,0.43,0,0,0
1,0.44,0,0,0
1,0.45,0,0,0
1,0.46,0,0,0
1,0.47,0,0,0
1,0.48,0,0,0
1,0.49,0,0,0
1,0.5,0,0,0
1,0.51,0,0,0
1,0.52,0,0,0
1,0.53,0,0,0
1,0.54,0,0,0
1,0.55,0,0,0
1,0.56,0,0,0
1,0.57,0,0,0
1,0.58,0,0,0
1,0.59,0,0,0
1,0.6,0,0,0
1,0.61,0,0,0
1,0.62,0,0,0
1,0.63,0,0,0
1,0.64,0,0,0
1,0.65,0,0,0
1,0.66,0,0,0
1,0.67,0,0,0
1,0.68,0,0,0
1,0.69,0,0,0
1,0.7,0,0,0
1,0.71,0,0,0
1,0.72,15.6023551957221,0,0
1,0.73,17.1973846322332,0,0
1,0.74,18.073252520237,0,0
1,0.75,18.9806283915939,0,0
1,0.76,19.7697724992287,0,0
1,0.77,20.4190088800104,0,0
1,0.78,21.1137925614217,0,0
1,0.79,21.7899174334073,0,0
1,0.8,22.4456188804231,0,0
1,0.81,23.0926769272991,0,0
1,0.82,23.6750472771736,0,0
1,0.83,24.3838954000362,0,0
1,0.84,24.9698804178597,10.5997018086762,0
1,0.85,25.5414456584896,11.4941126977551,0
1,0.86,26.1692443587661,12.0765168681908,0
1,0.87,26.7374560320018,12.5580045916377,0
1,0.88,27.360831419584,12.9005717207597,0
1,0.89,27.8607984580472,13.209469867342,0
1,0.9,28.4275704394032,13.4822315933334,0
1,0.91,28.9091091600979,13.7371382319397,0
1,0.92,29.3770853930763,13.9613304121939,0
1,0.93,29.8431869597519,14.1516838538828,0
1,0.94,30.3027069819503,14.3149685716267,0
1,0.95,30.8115059599513,14.4676034481898,7.77320316449526
1,0.96,31.1866429724421,14.5700592744368,8.188562810943
1,0.97,31.5193575911803,14.6316276044392,8.38646534652695
